ligra-0,PageRank-51000M,Triangle-25000M,PageRank-51000M,CF-184750M,CF-184750M,Triangle-25000M,Triangle-25000M,PageRank-51000M
ligra-16,Radii-25000M,Components-Shortcut-22000M,Triangle-25000M,CF-184750M,Radii-25000M,BFSCC-17000M,PageRank-51000M,Components-Shortcut-22000M
ligra-17,Radii-25000M,Radii-24500M,Radii-24500M,Triangle-25000M,Radii-25000M,PageRankDelta-17000M,BFSCC-17000M,Triangle-25000M
ligra-18,Components-Shortcut-22000M,Radii-24500M,PageRankDelta-17000M,Components-Shortcut-22000M,Radii-24500M,Components-Shortcut-17000M,BFSCC-17000M,CF-184750M
ligra-19,PageRankDelta-17000M,Radii-24500M,Components-Shortcut-17000M,Radii-25000M,Triangle-25000M,PageRankDelta-24000M,PageRank-51000M,Radii-24500M
spec17-0,623.xalancbmk_s-10B,607.cactuBSSN_s-2421B,623.xalancbmk_s-10B,607.cactuBSSN_s-2421B,623.xalancbmk_s-10B,607.cactuBSSN_s-2421B,605.mcf_s-484B,620.omnetpp_s-874B
spec17-1,654.roms_s-523B,649.fotonik3d_s-7084B,603.bwaves_s-891B,605.mcf_s-1554B,603.bwaves_s-891B,605.mcf_s-1554B,623.xalancbmk_s-10B,605.mcf_s-1644B
spec17-2,605.mcf_s-472B,654.roms_s-523B,607.cactuBSSN_s-2421B,605.mcf_s-1644B,623.xalancbmk_s-10B,603.bwaves_s-891B,623.xalancbmk_s-10B,605.mcf_s-1554B
spec17-3,605.mcf_s-1554B,607.cactuBSSN_s-2421B,623.xalancbmk_s-10B,603.bwaves_s-891B,623.xalancbmk_s-10B,607.cactuBSSN_s-2421B,603.bwaves_s-891B,605.mcf_s-484B
spec17-4,605.mcf_s-472B,649.fotonik3d_s-7084B,607.cactuBSSN_s-2421B,603.bwaves_s-891B,605.mcf_s-484B,623.xalancbmk_s-10B,654.roms_s-523B,605.mcf_s-1644B
spec17-5,621.wrf_s-6673B,623.xalancbmk_s-10B,621.wrf_s-6673B,649.fotonik3d_s-7084B,605.mcf_s-484B,620.omnetpp_s-874B,607.cactuBSSN_s-2421B,649.fotonik3d_s-7084B
spec17-6,620.omnetpp_s-874B,620.omnetpp_s-874B,605.mcf_s-1644B,649.fotonik3d_s-7084B,607.cactuBSSN_s-2421B,605.mcf_s-472B,605.mcf_s-484B,605.mcf_s-484B
spec17-7,649.fotonik3d_s-7084B,605.mcf_s-1554B,654.roms_s-523B,605.mcf_s-1644B,623.xalancbmk_s-10B,605.mcf_s-484B,623.xalancbmk_s-10B,620.omnetpp_s-874B
spec17-8,603.bwaves_s-891B,605.mcf_s-1644B,621.wrf_s-6673B,621.wrf_s-6673B,621.wrf_s-6673B,603.bwaves_s-891B,607.cactuBSSN_s-2421B,605.mcf_s-1554B
spec17-9,605.mcf_s-1554B,603.bwaves_s-891B,649.fotonik3d_s-7084B,603.bwaves_s-891B,649.fotonik3d_s-7084B,603.bwaves_s-891B,605.mcf_s-472B,621.wrf_s-6673B
spec17-10,654.roms_s-523B,654.roms_s-523B,607.cactuBSSN_s-2421B,621.wrf_s-6673B,603.bwaves_s-891B,649.fotonik3d_s-7084B,649.fotonik3d_s-7084B,605.mcf_s-472B
spec17-11,649.fotonik3d_s-7084B,605.mcf_s-1644B,603.bwaves_s-891B,603.bwaves_s-891B,607.cactuBSSN_s-2421B,603.bwaves_s-891B,620.omnetpp_s-874B,654.roms_s-523B
spec17-12,605.mcf_s-484B,607.cactuBSSN_s-2421B,605.mcf_s-472B,620.omnetpp_s-874B,649.fotonik3d_s-7084B,603.bwaves_s-891B,605.mcf_s-472B,605.mcf_s-1644B
spec17-13,623.xalancbmk_s-10B,605.mcf_s-1554B,605.mcf_s-1644B,620.omnetpp_s-874B,605.mcf_s-1644B,605.mcf_s-484B,605.mcf_s-1644B,623.xalancbmk_s-10B
spec17-14,649.fotonik3d_s-7084B,654.roms_s-523B,603.bwaves_s-891B,605.mcf_s-472B,620.omnetpp_s-874B,605.mcf_s-472B,623.xalancbmk_s-10B,654.roms_s-523B
spec17-15,620.omnetpp_s-874B,649.fotonik3d_s-7084B,605.mcf_s-484B,605.mcf_s-1554B,623.xalancbmk_s-10B,649.fotonik3d_s-7084B,649.fotonik3d_s-7084B,605.mcf_s-1554B
spec17-16,607.cactuBSSN_s-2421B,603.bwaves_s-891B,607.cactuBSSN_s-2421B,620.omnetpp_s-874B,623.xalancbmk_s-10B,607.cactuBSSN_s-2421B,654.roms_s-523B,603.bwaves_s-891B
spec17-17,605.mcf_s-1644B,620.omnetpp_s-874B,621.wrf_s-6673B,620.omnetpp_s-874B,654.roms_s-523B,605.mcf_s-1554B,605.mcf_s-472B,603.bwaves_s-891B
spec17-18,623.xalancbmk_s-10B,607.cactuBSSN_s-2421B,605.mcf_s-472B,649.fotonik3d_s-7084B,649.fotonik3d_s-7084B,621.wrf_s-6673B,607.cactuBSSN_s-2421B,620.omnetpp_s-874B
spec17-19,621.wrf_s-6673B,649.fotonik3d_s-7084B,607.cactuBSSN_s-2421B,649.fotonik3d_s-7084B,605.mcf_s-484B,605.mcf_s-472B,654.roms_s-523B,623.xalancbmk_s-10B
ml-0,llama2.c_15M-3,llama2.c_42M-1,llama2.c_110M-3,bark.cpp-5,llama2.c_42M-2,llama2.c_15M-3,llama2.c_42M-1,biogpt.cpp-3
ml-1,llama2.c_15M-2,llama2.c_42M-2,biogpt.cpp-3,llama2.c_15M-1,llama2.c_110M-1,rwkv-1,bark.cpp-5,biogpt.cpp-3
ml-2,biogpt.cpp-1,llama2.c_42M-1,llama2.c_110M-3,llama2.c_42M-3,biogpt.cpp-2,llama2.c_15M-2,llama2.c_42M-1,llama2.c_110M-3
ml-3,llama2.c_110M-2,llama2.c_15M-3,biogpt.cpp-3,llama2.c_15M-2,llama2.c_110M-1,llama2.c_15M-1,llama2.c_110M-1,bark.cpp-5
ml-4,llama2.c_42M-1,bark.cpp-5,llama2.c_15M-3,biogpt.cpp-1,llama2.c_42M-1,llama2.c_15M-2,llama2.c_42M-3,llama2.c_110M-1
ml-5,llama2.c_15M-2,llama2.c_15M-3,llama2.c_42M-3,biogpt.cpp-3,llama2.c_42M-2,llama2.c_110M-3,llama2.c_15M-1,llama2.c_110M-1
ml-6,llama2.c_42M-1,stable_diffusion.cpp_v2_1-1,llama2.c_15M-2,rwkv-1,llama2.c_42M-2,biogpt.cpp-2,stable_diffusion.cpp_v2_1-1,llama2.c_42M-3
ml-7,biogpt.cpp-3,bark.cpp-5,stable_diffusion.cpp_v2_1-1,llama2.c_42M-3,llama2.c_42M-3,llama2.c_15M-2,llama2.c_42M-1,biogpt.cpp-3
ml-8,llama2.c_15M-3,biogpt.cpp-2,biogpt.cpp-2,llama2.c_42M-1,llama2.c_110M-3,bark.cpp-5,bark.cpp-5,llama2.c_15M-3
ml-9,llama2.c_15M-1,llama2.c_15M-2,llama2.c_15M-2,llama2.c_110M-3,biogpt.cpp-1,llama2.c_15M-2,llama2.c_42M-3,biogpt.cpp-3
ml-10,llama2.c_15M-2,stable_diffusion.cpp_v2_1-1,biogpt.cpp-2,llama2.c_15M-3,llama2.c_110M-1,llama2.c_42M-1,llama2.c_110M-1,biogpt.cpp-1
ml-11,llama2.c_15M-1,rwkv-1,llama2.c_42M-1,llama2.c_110M-2,llama2.c_110M-1,llama2.c_15M-1,llama2.c_42M-2,biogpt.cpp-3
ml-12,llama2.c_110M-2,stable_diffusion.cpp_v2_1-1,rwkv-1,llama2.c_110M-3,llama2.c_42M-1,biogpt.cpp-2,llama2.c_110M-3,biogpt.cpp-1
ml-13,llama2.c_15M-3,llama2.c_110M-3,rwkv-1,biogpt.cpp-1,llama2.c_110M-3,rwkv-1,llama2.c_110M-3,llama2.c_15M-3
ml-14,llama2.c_110M-2,stable_diffusion.cpp_v2_1-1,llama2.c_110M-1,llama2.c_42M-2,bark.cpp-5,biogpt.cpp-1,biogpt.cpp-2,llama2.c_15M-3
ml-15,biogpt.cpp-3,llama2.c_15M-1,llama2.c_15M-1,llama2.c_42M-3,llama2.c_110M-2,llama2.c_42M-2,rwkv-1,llama2.c_15M-2
ml-16,llama2.c_42M-3,llama2.c_42M-1,bark.cpp-5,rwkv-1,rwkv-1,llama2.c_110M-2,llama2.c_15M-1,stable_diffusion.cpp_v2_1-1
ml-17,llama2.c_15M-1,llama2.c_110M-2,llama2.c_42M-2,llama2.c_42M-1,llama2.c_110M-1,bark.cpp-5,llama2.c_110M-3,biogpt.cpp-3
ml-18,llama2.c_42M-2,llama2.c_42M-2,llama2.c_110M-1,biogpt.cpp-1,stable_diffusion.cpp_v2_1-1,llama2.c_15M-2,llama2.c_42M-2,llama2.c_110M-1
ml-19,biogpt.cpp-3,stable_diffusion.cpp_v2_1-1,stable_diffusion.cpp_v2_1-1,llama2.c_110M-3,llama2.c_110M-3,llama2.c_15M-1,bark.cpp-5,biogpt.cpp-2
google-0,yankee-4,merced-4,tahoe-4,sierra3-3,tango-3,charlie-3,charlie-2,sierra6-1
google-1,yankee-0,sierra6-1,charlie-4,sierra3-3,sierra4-4,yankee-3,sierra3-3,yankee-0
google-2,tango-3,sierra4-1,yankee-3,sierra6-1,charlie-4,sierra6-3,tango-0,merced-2
google-3,charlie-2,merced-3,yankee-4,merced-1,yankee-1,sierra6-0,sierra4-0,sierra4-0
google-4,yankee-0,arizona-1,charlie-4,merced-0,charlie-4,sierra6-4,sierra4-4,yankee-4
google-5,tango-0,merced-2,arizona-1,sierra6-2,tahoe-0,sierra6-1,merced-1,sierra3-0
google-6,merced-0,merced-2,charlie-0,yankee-4,sierra3-4,tahoe-1,sierra4-2,tango-3
google-7,yankee-4,sierra4-2,yankee-0,sierra4-3,tahoe-2,merced-4,sierra3-0,sierra6-0
google-8,tahoe-3,tahoe-0,tahoe-4,charlie-1,yankee-1,merced-1,tahoe-0,tahoe-3
google-9,sierra4-2,arizona-0,merced-0,tahoe-2,charlie-4,sierra6-0,charlie-4,sierra3-3
google-10,yankee-0,merced-3,sierra4-4,merced-3,sierra6-1,sierra4-1,tango-1,arizona-1
google-11,yankee-3,tango-3,tango-0,merced-4,tango-2,yankee-3,tango-1,tango-3
google-12,sierra4-0,yankee-0,arizona-0,sierra3-0,tango-0,sierra4-0,arizona-1,sierra6-4
google-13,tahoe-4,charlie-2,sierra4-1,charlie-0,arizona-1,merced-4,tahoe-2,sierra6-2
google-14,arizona-0,sierra3-0,tahoe-2,tango-2,arizona-1,arizona-1,tahoe-0,arizona-1
google-15,sierra6-3,charlie-4,tango-1,merced-0,tango-1,tango-4,sierra6-0,sierra3-1
google-16,merced-1,sierra6-1,tahoe-0,sierra6-1,sierra4-0,charlie-1,arizona-1,arizona-0
google-17,tahoe-2,sierra3-1,sierra3-3,sierra3-0,sierra3-4,sierra6-3,tahoe-0,tango-2
google-18,sierra4-1,charlie-3,arizona-1,yankee-3,tahoe-0,tango-3,sierra3-0,sierra4-2
google-19,charlie-1,tango-0,charlie-0,sierra3-2,charlie-1,sierra4-1,sierra6-1,tango-0
gap-0,sssp-14,bfs-10,cc-13,cc-5,cc-5,sssp-14,cc-14,bc-0
gap-1,sssp-10,bc-12,bfs-14,cc-14,bc-12,bfs-14,cc-14,bfs-14
gap-2,cc-5,sssp-14,sssp-10,bfs-10,cc-13,cc-14,sssp-14,cc-13
gap-3,cc-14,bc-0,sssp-10,bfs-10,bc-0,sssp-14,bc-12,sssp-10
gap-4,cc-14,sssp-10,bfs-14,cc-14,bc-0,cc-14,cc-5,bc-0
gap-5,bfs-14,sssp-14,cc-14,bfs-14,cc-13,bc-0,bfs-14,cc-5
gap-6,bfs-14,cc-5,bfs-10,bc-0,bc-0,bfs-10,bfs-10,bfs-14
gap-7,cc-13,sssp-10,bfs-10,bc-0,cc-5,cc-5,bc-12,cc-14
gap-8,cc-5,bc-12,bfs-14,bc-12,sssp-10,bc-0,sssp-10,cc-14
gap-9,sssp-14,bfs-14,bfs-14,cc-13,bfs-14,cc-5,cc-14,sssp-14
gap-10,sssp-10,sssp-14,bfs-10,sssp-14,bfs-14,sssp-14,cc-14,cc-14
gap-11,cc-5,cc-13,bfs-14,cc-5,sssp-10,cc-14,bfs-14,sssp-10
gap-12,cc-13,sssp-10,bc-0,cc-13,bc-12,sssp-10,bc-0,cc-5
gap-13,bc-12,sssp-10,sssp-10,cc-14,cc-13,cc-14,cc-13,sssp-10
gap-14,sssp-14,cc-14,bfs-10,sssp-14,sssp-10,cc-14,bc-12,cc-5
gap-15,bc-0,cc-13,bfs-14,sssp-14,bfs-14,cc-13,bfs-14,bc-12
gap-16,bfs-14,bfs-10,bc-12,cc-5,bfs-14,bc-0,cc-14,bfs-14
gap-17,cc-14,cc-13,cc-5,bc-0,bfs-14,bc-12,sssp-14,bc-12
gap-18,sssp-10,bc-0,bfs-10,sssp-10,bfs-14,sssp-10,cc-13,sssp-14
gap-19,bc-0,bfs-14,bfs-14,bfs-14,bc-0,cc-14,bc-0,bfs-10
mix-0,sssp-10,cc-13,bc-0,llama2.c_110M-3,sssp-10,charlie-1,sierra3-1,sierra4-1
mix-1,llama2.c_110M-3,sierra3-2,bc-0,603.bwaves_s-891B,649.fotonik3d_s-7084B,tango-2,621.wrf_s-6673B,llama2.c_15M-2
mix-2,tahoe-1,Components-Shortcut-22000M,cc-14,605.mcf_s-472B,Radii-25000M,charlie-4,605.mcf_s-472B,sssp-10
mix-3,PageRankDelta-17000M,PageRank-51000M,Radii-25000M,654.roms_s-523B,Components-Shortcut-22000M,Radii-24500M,cc-13,PageRankDelta-17000M
mix-4,tango-3,charlie-3,biogpt.cpp-3,sierra3-0,BFSCC-17000M,607.cactuBSSN_s-2421B,bc-0,llama2.c_15M-2
mix-5,621.wrf_s-6673B,llama2.c_110M-2,yankee-3,yankee-2,tahoe-0,bark.cpp-5,CF-184750M,620.omnetpp_s-874B
mix-6,605.mcf_s-472B,Components-Shortcut-17000M,llama2.c_15M-3,603.bwaves_s-891B,654.roms_s-523B,Components-Shortcut-17000M,biogpt.cpp-1,621.wrf_s-6673B
mix-7,621.wrf_s-6673B,620.omnetpp_s-874B,BFSCC-17000M,607.cactuBSSN_s-2421B,Components-Shortcut-22000M,cc-13,biogpt.cpp-1,llama2.c_42M-3
mix-8,605.mcf_s-472B,bfs-10,Triangle-25000M,PageRankDelta-24000M,CF-184750M,sierra4-1,603.bwaves_s-891B,sierra4-3
mix-9,stable_diffusion.cpp_v2_1-1,sierra3-3,605.mcf_s-1644B,CF-184750M,sierra3-4,biogpt.cpp-1,llama2.c_15M-3,cc-5
mix-10,sierra3-1,llama2.c_15M-3,607.cactuBSSN_s-2421B,llama2.c_15M-2,cc-13,621.wrf_s-6673B,603.bwaves_s-891B,bfs-14
mix-11,BFSCC-17000M,cc-14,llama2.c_15M-1,charlie-2,tango-3,603.bwaves_s-891B,sierra6-0,sierra6-4
mix-12,bark.cpp-5,biogpt.cpp-1,bfs-14,biogpt.cpp-3,Radii-25000M,BFSCC-17000M,llama2.c_42M-3,bc-12
mix-13,llama2.c_42M-3,bc-0,Radii-25000M,605.mcf_s-484B,649.fotonik3d_s-7084B,PageRankDelta-24000M,620.omnetpp_s-874B,cc-5
mix-14,llama2.c_110M-2,cc-13,603.bwaves_s-891B,llama2.c_42M-1,cc-13,sssp-14,CF-184750M,llama2.c_110M-1
mix-15,llama2.c_15M-1,llama2.c_15M-3,llama2.c_110M-2,biogpt.cpp-2,sssp-10,BFSCC-17000M,620.omnetpp_s-874B,cc-14
mix-16,623.xalancbmk_s-10B,cc-14,sierra4-1,biogpt.cpp-2,sierra6-0,tango-1,bc-0,tango-4
mix-17,yankee-3,biogpt.cpp-1,sierra6-4,bark.cpp-5,rwkv-1,sssp-10,llama2.c_110M-1,merced-3
mix-18,649.fotonik3d_s-7084B,bfs-10,llama2.c_110M-2,bc-0,sierra3-4,sierra4-3,Components-Shortcut-22000M,Components-Shortcut-17000M
mix-19,tango-4,sssp-14,llama2.c_42M-1,charlie-0,llama2.c_15M-3,CF-184750M,charlie-3,654.roms_s-523B
