spec17-4,621.wrf_s-6673B,649.fotonik3d_s-7084B,620.omnetpp_s-874B,605.mcf_s-1644B
spec17-5,605.mcf_s-1644B,607.cactuBSSN_s-2421B,649.fotonik3d_s-7084B,654.roms_s-523B
spec17-6,607.cactuBSSN_s-2421B,623.xalancbmk_s-10B,654.roms_s-523B,603.bwaves_s-891B
spec17-7,607.cactuBSSN_s-2421B,649.fotonik3d_s-7084B,620.omnetpp_s-874B,621.wrf_s-6673B
spec17-8,603.bwaves_s-891B,621.wrf_s-6673B,654.roms_s-523B,607.cactuBSSN_s-2421B
spec17-9,603.bwaves_s-891B,607.cactuBSSN_s-2421B,649.fotonik3d_s-7084B,605.mcf_s-472B
spec17-10,621.wrf_s-6673B,623.xalancbmk_s-10B,605.mcf_s-472B,649.fotonik3d_s-7084B
spec17-11,621.wrf_s-6673B,607.cactuBSSN_s-2421B,605.mcf_s-484B,603.bwaves_s-891B
spec17-12,603.bwaves_s-891B,605.mcf_s-1554B,620.omnetpp_s-874B,605.mcf_s-1644B
spec17-13,605.mcf_s-1644B,623.xalancbmk_s-10B,605.mcf_s-484B,607.cactuBSSN_s-2421B
spec17-14,654.roms_s-523B,621.wrf_s-6673B,607.cactuBSSN_s-2421B,605.mcf_s-484B
spec17-15,654.roms_s-523B,605.mcf_s-1644B,605.mcf_s-1554B,649.fotonik3d_s-7084B
spec17-16,603.bwaves_s-891B,621.wrf_s-6673B,605.mcf_s-484B,605.mcf_s-1644B
spec17-17,605.mcf_s-472B,620.omnetpp_s-874B,603.bwaves_s-891B,654.roms_s-523B
spec17-18,605.mcf_s-1554B,605.mcf_s-472B,605.mcf_s-1644B,623.xalancbmk_s-10B
spec17-19,605.mcf_s-472B,607.cactuBSSN_s-2421B,605.mcf_s-484B,649.fotonik3d_s-7084B
ml-0,llama2.c_42M-1,biogpt.cpp-3,biogpt.cpp-2,llama2.c_15M-3
ml-1,biogpt.cpp-2,stable_diffusion.cpp_v2_1-1,biogpt.cpp-3,biogpt.cpp-1
ml-2,llama2.c_15M-1,llama2.c_42M-3,llama2.c_42M-2,llama2.c_110M-3
ml-3,llama2.c_110M-1,bark.cpp-5,biogpt.cpp-2,llama2.c_15M-1
ml-4,bark.cpp-5,llama2.c_110M-3,llama2.c_110M-1,biogpt.cpp-2
ml-5,llama2.c_15M-3,llama2.c_15M-1,llama2.c_15M-2,biogpt.cpp-1
ml-6,llama2.c_15M-2,llama2.c_42M-1,llama2.c_15M-1,biogpt.cpp-3
ml-7,biogpt.cpp-3,llama2.c_15M-3,biogpt.cpp-2,llama2.c_110M-2
ml-8,stable_diffusion.cpp_v2_1-1,llama2.c_42M-2,llama2.c_15M-3,biogpt.cpp-2
ml-9,llama2.c_15M-2,llama2.c_110M-3,llama2.c_110M-2,llama2.c_110M-1
ml-10,llama2.c_42M-1,llama2.c_15M-1,bark.cpp-5,llama2.c_110M-1
ml-11,llama2.c_15M-2,biogpt.cpp-1,llama2.c_42M-2,biogpt.cpp-3
ml-12,llama2.c_110M-2,biogpt.cpp-2,llama2.c_110M-1,llama2.c_15M-3
ml-13,biogpt.cpp-1,llama2.c_15M-3,stable_diffusion.cpp_v2_1-1,llama2.c_110M-3
ml-14,llama2.c_110M-3,biogpt.cpp-3,llama2.c_15M-1,llama2.c_15M-3
ml-15,llama2.c_110M-3,biogpt.cpp-2,llama2.c_15M-2,llama2.c_110M-2
ml-16,llama2.c_110M-3,stable_diffusion.cpp_v2_1-1,biogpt.cpp-3,biogpt.cpp-2
ml-17,bark.cpp-5,llama2.c_110M-3,llama2.c_42M-1,llama2.c_15M-1
ml-18,llama2.c_42M-1,llama2.c_15M-2,llama2.c_42M-3,bark.cpp-5
ml-19,llama2.c_42M-2,llama2.c_110M-3,llama2.c_110M-1,llama2.c_110M-2
google-0,yankee-0,sierra4-0,merced-1,tango-0
google-1,tango-3,yankee-3,sierra4-1,tahoe-3
google-2,merced-3,yankee-0,arizona-0,sierra3-0
google-3,tango-3,charlie-4,yankee-3,merced-3
google-4,sierra4-4,charlie-4,merced-4,sierra6-0
google-5,sierra6-1,sierra3-3,sierra3-2,tahoe-4
google-6,merced-1,sierra4-3,charlie-4,merced-4
google-7,yankee-3,merced-3,tahoe-4,sierra3-2
google-8,sierra6-3,tahoe-2,sierra6-0,merced-2
google-9,sierra6-2,tango-3,tahoe-4,sierra6-0
google-10,sierra4-2,tango-4,yankee-1,tahoe-4
google-11,yankee-0,sierra3-0,sierra4-4,yankee-1
google-12,yankee-0,sierra6-0,merced-4,sierra4-0
google-13,yankee-3,charlie-4,sierra6-3,tahoe-2
google-14,yankee-0,charlie-0,charlie-2,sierra3-3
google-15,merced-2,sierra6-1,charlie-4,sierra6-0
google-16,tango-0,sierra3-0,sierra4-1,yankee-3
google-17,yankee-0,sierra3-4,arizona-0,yankee-1
google-18,tango-0,sierra3-0,charlie-0,tahoe-2
google-19,sierra6-3,tango-0,charlie-3,arizona-1
gap-0,sssp-10,cc-14,cc-5,bfs-10
gap-1,cc-13,bc-12,sssp-10,sssp-14
gap-2,bfs-14,bc-0,cc-5,bfs-10
gap-3,sssp-14,cc-13,sssp-10,bc-0
gap-4,cc-5,bc-12,bfs-14,bfs-10
gap-5,bfs-14,sssp-10,bfs-10,cc-13
gap-6,bfs-14,bc-0,bfs-10,bc-12
gap-7,sssp-10,cc-13,bc-0,cc-5
gap-8,bfs-10,sssp-14,cc-13,sssp-10
gap-9,bfs-14,bc-12,bfs-10,cc-14
gap-10,sssp-10,bfs-10,cc-14,bc-12
gap-11,bfs-10,sssp-10,bfs-14,cc-5
gap-12,bc-12,cc-5,bfs-14,cc-13
gap-13,bfs-14,cc-14,bc-0,cc-5
gap-14,bfs-10,cc-5,cc-14,sssp-14
gap-15,sssp-10,cc-14,cc-5,bfs-14
gap-16,bc-0,cc-5,sssp-10,bc-12
gap-17,sssp-14,sssp-10,bfs-10,bfs-14
gap-18,bc-12,sssp-14,cc-14,sssp-10
gap-19,bfs-10,sssp-14,bfs-14,cc-13
mix-0,Triangle-25000M,605.mcf_s-1554B,tango-2,607.cactuBSSN_s-2421B
mix-1,llama2.c_42M-2,605.mcf_s-484B,cc-5,654.roms_s-523B
mix-2,llama2.c_15M-1,BFSCC-17000M,603.bwaves_s-891B,sssp-10
mix-3,607.cactuBSSN_s-2421B,Radii-24500M,PageRankDelta-17000M,cc-5
mix-4,llama2.c_15M-1,607.cactuBSSN_s-2421B,bfs-10,biogpt.cpp-2
mix-5,PageRank-51000M,bark.cpp-5,620.omnetpp_s-874B,tahoe-3
mix-6,620.omnetpp_s-874B,bc-0,llama2.c_15M-1,649.fotonik3d_s-7084B
mix-7,cc-13,sierra3-2,605.mcf_s-472B,605.mcf_s-1644B
mix-8,bark.cpp-5,cc-13,sssp-14,sierra4-4
mix-9,605.mcf_s-1644B,llama2.c_42M-1,607.cactuBSSN_s-2421B,620.omnetpp_s-874B
mix-10,llama2.c_110M-3,654.roms_s-523B,Components-Shortcut-17000M,620.omnetpp_s-874B
mix-11,cc-5,cc-13,llama2.c_42M-3,llama2.c_15M-2
mix-12,623.xalancbmk_s-10B,bc-0,654.roms_s-523B,PageRankDelta-24000M
mix-13,Components-Shortcut-17000M,biogpt.cpp-1,CF-184750M,621.wrf_s-6673B
mix-14,sierra4-0,Components-Shortcut-22000M,bc-12,llama2.c_110M-3
mix-15,Triangle-25000M,sssp-10,yankee-2,Radii-24500M
mix-16,biogpt.cpp-2,PageRankDelta-24000M,llama2.c_15M-3,cc-13
mix-17,llama2.c_42M-2,biogpt.cpp-1,607.cactuBSSN_s-2421B,BFSCC-17000M
mix-18,tahoe-3,bc-12,cc-5,623.xalancbmk_s-10B
mix-19,605.mcf_s-484B,603.bwaves_s-891B,llama2.c_15M-2,Components-Shortcut-22000M
