mix-10,605.mcf_s-1644B,clip-3
mix-11,merced-1,620.omnetpp_s-874B
mix-12,CF-184750M,stable_diffusion.cpp_v2_1-3
mix-13,stable_diffusion.cpp_v1_4-2,649.fotonik3d_s-7084B
mix-14,607.cactuBSSN_s-2421B,llama2.c_110M-1
mix-15,Components-Shortcut-17000M,yankee-0
mix-16,sierra3-0,bc-5
mix-17,PageRankDelta-17000M,stable_diffusion.cpp_v1_4-1
mix-18,stable_diffusion.cpp_v1_5-2,BFSCC-17000M
mix-19,sierra4-0,PageRank-51000M
mix-20,merced-4,605.mcf_s-1554B
mix-21,llama2.c_15M-1,sssp-10
mix-22,Triangle-25000M,llama2.c_42M-3
mix-23,tango-3,bfs-14
mix-24,Components-Shortcut-17000M,bfs-8
